Module1,Module2,Module3,Module4,Module5,Module6,Module7,Module8,Module9,Module10,Module11,Module12,Module13,Module14,Module15,Module16
OIP5,AK3,RPN2,ATP5PF,EDF1,AP1S2,CYCS,IL16,TSPAN13,IDS,,ARL4A,TFDP2,SH2D3C,APBB1IP,RCN2
UBE2T,HDAC2,LMAN1,HSBP1,COX4I1,SMARCB1,EIF1,HLA-DQA2,SNX2,LYZ,,NBPF14,MIR181A1HG,SELENOT,CMTM7,PPP2R2C
SKA2,KHDRBS1,ETV6,DYNLL1,C19orf53,YWHAB,CIRBP,CYTIP,IGHV5-51,S100A11,,SARAF,CD38,PIK3AP1,TMEM263,WFS1
TUBB4B,TMX1,SSR1,AP2S1,OST4,ACTB,MRPL54,CD55,HLA-DRA,S100A6,,CLEC2B,LDLRAD4,EIF4G2,LEF1,VASN
BIRC5,VAPA,MAT2A,NUDCD2,COX7C,PPP1CA,NGRN,TRIM22,CD74,,,ZNF331,TRAM1,CYFIP2,VPREB1,ATF5
CDKN3,LMO4,DNAJB6,RAC1,UQCRB,C11orf58,RAB7A,SP100,IGKV1-39,,,BORCS5,UGP2,AC004687.1,WASF2,SPRY1
CCNB2,SEC11A,GNA15,METTL9,SELENOH,MYL6,TCEA1,SP110,CD180,,,STK17B,DOK3,BLNK,ANKRD10,TOB1
MCM7,ETFA,MYADM,ARL6IP4,SERP1,PSMB8,LSM14A,PPM1K,IL4R,,,AC016831.7,BCL2L1,ZCCHC7,SSBP2,CITED2
FEN1,PRDX2,AREG,COX6B1,TPT1,SSNA1,UBC,VOPP1,HVCN1,,,CEMIP2,MAPRE1,EMB,MME,ADGRE2
RRM1,CCT8,LMAN2,LSM7,C8orf59,GHITM,UBE2B,RABGAP1L,FCER2,,,REL,CDC37,IQGAP1,TTC7A,LILRB2
SAE1,RTRAF,MTDH,LSM2,UXT,COPZ1,BCAS2,DDX5,CCR7,,,DMXL1,TERF1,CD47,TLE4,LRRFIP1
RBBP7,VDAC2,TPM4,BTF3,ST13,PPP4C,CCDC59,MYLIP,EVI2B,,,PELI1,HIST1H2BG,LBR,PTPRE,CYGB
SMC2,ATP5F1A,P4HB,ATP5MC2,RACK1,RHOA,PSMB4,ARID5B,ACTR3,,,ZBTB10,HIST1H2BB,DBF4,TRABD,PIM3
CENPM,UQCRC2,IGFBP7,SNU13,NACA,ARPC5,MRPL41,JAK1,ELOVL5,,,LY6E,HIST1H2BF,LSM8,U2SURP,CD99
ITGB3BP,PGK1,ARMH1,ALDOA,TPM3,MARCKSL1,UPF3A,FOXP1,ADK,,,ODF3B,H1FX,MOB1A,ERGIC1,KLF10
TXNDC12,ACTG1,AC002454.1,UQCRH,EIF5A,NDUFB1,AIMP1,SECISBP2L,CNTNAP2,,,WARS,H2AFJ,ACTR2,TOP2B,DNTT
EIF4A3,ATP5F1B,GYPC,SNRPD2,CSTB,MRPL52,UBE2J1,SNX29,DBNDD1,,,IFITM2,HIST1H2AE,BACH2,SMARCA4,PPP1R18
TMPO,SLC25A3,EBPL,ATP5MD,MT2A,GDI2,CAPZA2,TRIM38,RNASEK,,,GM2A,HIST1H1E,SYVN1,LAT2,PSMA6
BARD1,CUEDC2,IFITM3,ATP5PD,RAD23A,TMA7,PLSCR1,EBLN3P,MAT2B,,,AC103591.3,HIST1H1D,TMEM131L,KTN1,GLRX
NSD2,HNRNPA1,BEX3,COX5B,IFI6,NOP10,UBE2L6,PRKCB,PLEKHF2,,,PRR7,EIF2S3,IRF4,PAG1,ZFAND5
DDX39A,TUFM,ZYX,ATP5MPL,ATRAID,SDCBP,CHMP5,ZNF107,WAS,,,IER5,HIST2H2AA4,DDX24,CSRNP1,LGALS3BP
FAM111B,EIF3L,AIF1,TMEM258,NQO2,CAPZB,PDCD2,HLA-DMB,EAF2,,,NFKBIA,CCNDBP1,RNGTT,PMAIP1,TTC3
RAD21,HADHA,SERPINB1,NDUFB2,SSR4,AIP,TAF9,RIPOR2,PTPN6,,,COQ7,UBXN1,NUP58,IRS2,LST1
MIS18BP1,PRDX1,BCAP31,SLC25A6,SSU72,HAX1,RSL24D1,PSMB8-AS1,SIT1,,,AL121944.1,YPEL3,CNOT1,SOD2,FNBP1
PARP1,MRPL16,CD34,PHB2,KRTCAP2,MCRIP1,RNF7,UCP2,IGLC2,,,AC087239.1,TAF7,MTRNR2L12,STRAP,ADGRE5
HNRNPA2B1,PRDX6,EGFL7,TOMM22,GSTK1,CHCHD7,DRAP1,AES,IGLC3,,,IL6,HIST1H2AC,JUND,FYTTD1,MSN
DDX46,KDELR1,AMD1,EIF3I,FKBP8,TIFA,SMDT1,TNFRSF14,IGLV3-1,,,SNHG9,AKIRIN2,UPF2,,DDIT4
TAF15,SSB,ZFP36L2,EIF3D,EEF1G,RRP7A,VPS28,ISG20,ZNF595,,,IGFBP4,LHPP,PHACTR1,,LAIR1
HNRNPU,CCT4,TOMM20,EIF3F,IMP3,GCSAM,SH3BGRL,LIMD2,S1PR1,,,ILF3-DT,YBX3,OFD1,,
SUPT16H,CLTA,NCOA4,TMEM256,PABPC1,GLO1,GABARAPL2,OSTF1,RNASE6,,,JUN,HIST1H1C,RBBP6,,
HNRNPA3,VPS29,OSTC,ROMO1,EEF2,ODC1,CCNI,SMIM14,CD27,,,RHOB,HIST1H2BC,TAP1,,
HNRNPR,CALM2,CAT,ELOB,EEF1A1,DBI,GABARAP,HCLS1,IGHG2,,,WIPF1,ATP6V0C,ADAR,,
HNRNPD,YWHAH,PYCARD,UBL5,FTH1,SUB1,GUK1,NCF1,AL928742.1,,,TSC22D3,CNOT7,ARGLU1,,
NASP,YBX1,ERGIC3,COX6C,RHOG,PDLIM1,UBE2D3,FAM107B,HBB,,,JUNB,SNX17,GABPB1-AS1,,
SRRM1,LSM6,EIF3M,AURKAIP1,PPDPF,RGS19,ARHGDIB,EZR,IGHG1,,,KLF6,HIST1H2BK,PNISR,,
HNRNPM,NDUFA12,VAMP8,POMP,EIF4B,LAMTOR5,RAP1B,CD79A,IGHG3,,,IER2,MYL4,N4BP2L2,,
HNRNPH3,RBX1,SMIM24,ATP5MF,EPB41L4A-AS1,ATP5ME,SKP1,BTG1,S100A10,,,CDKN1A,RGS16,MALAT1,,
DCAF7,PPIA,AC084033.3,COX7B,LAMTOR1,MIEN1,NDUFA5,CLEC2D,AC233755.1,,,DUSP1,WASF1,RSRP1,,
SMC4,NDUFB3,MRPL20,SPCS1,FIS1,ZNF706,PCNP,DBNL,IGHV1-69-2,,,PPP1R15A,NSMCE1,TAPBP,,
MND1,PFN1,CALR,TBCA,SNHG8,RANGRF,DNAJC15,YWHAZ,GLIPR1,,,FOS,AL133467.1,DDX17,,
HP1BP3,SNRNP25,MYDGF,EIF3K,C19orf70,ITGAE,PCBP1,RUBCNL,TRBC2,,,FOSB,CDKN2D,PDCD6IP,,
